id,day,word,meaning,source
d01-011,1,abject,"비굴한, 비참한, 절망적인

ab(멀리) + jacere(던지다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-012,1,abjure,"(신념, 주장) 버리다, 포기하다

ab(멀리) + jurare(맹세하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-013,1,abnegate,"(권리 등) 포기하다; (쾌락 등) 자제하다

ab(멀리) + negare(부인하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-014,1,abominate,"증오하다, 혐오하다

ab(~로부터 멀리) + omen(불길한 징조)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-015,1,abrade,"마모시키다

ab(~로부터 멀리) + radere(문지르다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-016,1,abreast of,"~와 나란히 하는, 뒤떨어지지 않는, (최신 정보 등) 알고 있는

a(~를 향해) + breast(가슴)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-017,1,abridge,"요약하다, 축약하다; 감소하다, 제한하다

brevis(짧은)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-018,1,abrogate,"(법령, 관습) 공식적으로 폐지하다, 철폐하다

ab(~로부터 멀리) + rogare(입법제안)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-019,1,absolve,"면죄하다, (책임, 의무) 면제하다

ab(~로부터 멀리) + solvere(풀어주다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-020,1,abstain,"삼가다, 절제하다; 기권하다

ab(~로부터 멀리) + tenere(붙들다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-021,1,abstemious,"(음식, 음주) 절제하는

ab(~로부터 멀리) + tementum(술)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-022,1,abstract,"분리시켜 생각하다, 괴리시키다

ab(~로부터 멀리) + trahere(당기다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-023,1,abstruse,"난해한, 심오한

ab(~로부터 멀리) + turdere(밀다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-024,1,abysmal,"심연의, 매우 깊은; 끔찍한, 매우 나쁜

abyssus(끝없는 심연)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-025,1,accessible,"(서비스, 장소 등) 접근성 있는, 이용하기 쉬운; 이해하기 쉬운

ad(~까지) + cedere(양보하다, 가다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-026,1,accession,"동의, 합의; (지위, 권력의) 획득

ad(~까지) + cedere(양보하다, 가다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-027,1,acclaim,"칭송하다, 갈채/환호를 보내다; 칭송, 환호, 갈채

ad(~에게) + clamere(고함지르다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-028,1,acclimate,"적응하다

ad(~에게) + climat(기후)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-029,1,accolade,"영광, 영예, 찬양, 포상

ad(~에) + collum(목) = 기사작위 주면서 목 을 끌어 안아 주는 행위",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-030,1,accord,"주다, 부여하다; 조화를 이루다; 동의, 조화, 합의

ad(~에게) + cord(심장)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-031,1,accountable,"책임 있는, 설명될 수 있는",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-032,1,accrete,"점진적으로 증가하다

ad(~까지) + crescere(커지다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-033,1,accrue,"(이자, 이익, 혜택 등) 쌓이다

ad(~까지) + crescere(커지다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-034,1,acerbic,"(맛) 신, 쓴; (태도) 신랄한",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-035,1,acknowledge,인정하다; 감사하다,https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-036,1,acme,"최정상, 정점",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-037,1,acolyte,"시종, 조수; 시제, 복사; 맹목적 추종자",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-038,1,acquiesce,"(마지못해) 순응하다, 따르다

ad(~에게) + quiescere(쉬다, 침묵하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-039,1,acquisitive,"탐욕스런, 소유욕이 강한

ad(~까지) + quaerere(찾아 다니다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-040,1,acquit,"무죄를 선고하다

ad(~로) + quitare(풀어주다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-041,1,acrid,"(냄새) 콕 쏘는 듯한, (맛) 매운; (말/어조) 신랄한

acer, acri(예리한, 신랄한)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-042,1,acrimonious,"(말, 논쟁, 싸움) 험악한, 신랄한

acer, acri(예리한, 신랄한)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-043,1,acumen,"명민함, 통찰력, 혜안

acuere(날카롭게 만들다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-044,1,acute,"(상태) 심각한; (사람) 예리한, 예민한; (병) 극성인

acuere(날카롭게 만들다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-045,1,ad hoc,"임시로 특별히 만들어진; 임시로, 특별히",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-046,1,adage,"격언, 속담, 금언",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-047,1,adamant,"확고한, 단호한

a(부정어) + daman(길들이다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-048,1,adapt,"적응시키다; (새로운 용도/목적에) 맞추다, 조정하다

ad(~에) + aptare(알맞다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-049,1,adaptable,"적응성 있는; 융통성 있는

ad(~에) + aptare(알맞다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-050,1,address,"(문제 등에 대해) 고심하여 다루다

ad(향해서) + directus(똑바로 둔)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-051,1,adduce,"(증거, 이유 등을) 제시하다, 인용하다

ad(~를 향해) + ducere(이끌다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-052,1,adept,"능숙한

ad(~에) + aptare(알맞다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-053,1,adequate,"충분한, 적절한

ad(~에) + aequus(동등한)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-054,1,adherent,"지지자, 추종자

ad(~에) + haerere(붙어있다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-055,1,admonish,"권고하다, 훈계하다, 충고하다",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-056,1,adorn,"장식하다

ad(~에) + ornare(장식하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-057,1,adroit,"솜씨 좋은, 능숙한",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-058,1,adulation,"과찬, 지나친 칭찬",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-059,1,adulterate,(불순물을 섞어) 순도/품질을 떨어뜨리다,https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-060,1,adumbrate,"어렴풋이, 대략적으로 보여주다; 전조하다, 예시하다

ad(~에) + umbrare(그림자 드리우다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-061,1,advent,"출현, 도래

ad(~에) + venire(오다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-062,1,adversary,"적, 원수

ad(~향해) + vertere(돌리다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-063,1,adversity,"역경, 고난

ad(~향해) + vertere(돌리다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-064,1,advocate,"지지하다, 옹호하다; 옹호자

ad(~에) + vocare(부르다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-065,1,aesthetic,"심미적인, 미학적인",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-066,1,affable,"사귀기 쉬운, 붙임성이 있는, 상냥한

ad(~에게) + fari(말하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-067,1,affect,"영향을 미치다; 가장하다, 꾸미다

ad(~에게) + facere(하다, 만들다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-068,1,affiliate,"가입하다, 제휴하다, 가맹하다; 친분관계를 맺다, 교제하다

ad(향해서) + filius(아들) 입양하다",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-069,1,affinity,"좋아함; 유사성, 관련성

ad(~에) + finis(경계)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-070,1,affirm,"단언하다, 확언하다

ad(~에) + firmus(강한)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-071,1,afflict,"괴롭히다, 고통스럽게 하다

ad(~에) + fligere(때리다, 치다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-072,1,affluent,"부유한, 풍성한

ad(~로) + fluere(흐르다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-073,1,affront,"모욕; 모욕하다

(to the face 면전에)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-074,1,aggrandize,"(권력, 힘, 지위, 명성 등) 증대시키다; 강화하다, 증대하다, 과장하다

grandis(큰, 거대한)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-075,1,aggravate,"악화시키다; 화나게 하다, 짜증나게 하다

ad(증가) + gravis(무거운)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-076,1,aggregate,"모으다, 종합하다; 총계의; 합계, 총합

ad(향하여) + greg, grex(무리)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-077,1,aggrieved,"(부당한 대우에) 분개한, 억울해 하는

ad(증가) + gravis(무거운)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-078,1,agile,"민첩한, 빠른; 영리한

agere(하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-079,1,agitate,"어지럽히다, 괴롭히다; 선동하다

agere(하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-080,1,agog,"몹시 흥분한, 들떠있는

en(안에) + gogue(재미)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-081,1,agony,큰 고통,https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-082,1,ailing,"아픈, 병약한; (경제, 기관 등) 병든, 비틀거리는",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-083,1,airtight,"논박할 수 없는, 빈틈없는",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-084,1,alacrity,"민활, 민첩",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-085,1,albeit,"~이긴 하지만

(although it be ~)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-086,1,alienate,"소원하게 하다, 멀어지게 하다; 양도하다",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-087,1,align,"제휴하다, 연합하다; 정렬하다

(into line 대열에 맞춰서)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-088,1,allay,"(두려움, 의심, 염려) 가라앉히다; (고통) 완화시키다

(아래 내려 놓다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-089,1,allegorical,"우화적인, 상징적인

allos(다른) + agoria(말하는)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-090,1,alleviate,"경감하다, 완화하다

ad(~까지) + levare(들어올리다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-091,1,allocate,"할당하다, 분배하다

ad(~에) + locare(두다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-092,1,alloy,"합금하다; 불순하게 하다; 합금, 혼합",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-093,1,allude,"넌지시 말하다, 암시하다

ad(향해서) + ludere(놀다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-094,1,allusive,"암시적인, 비유적인

ad(향해서) + ludere(놀다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-095,1,aloof,"쌀쌀맞은, 무관심한, 냉담한

a(~를 향해) + luff(뱃머리를 바람쪽으로)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-096,1,altruistic,이타적인,https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-097,1,amalgamate,"합병시키다, 합하다",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-098,1,amass,모으다,https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-099,1,ambient,"주변의, 분위기의",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-100,1,ambiguous,모호한,https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d02-001,2,ambivalent,"상반된 감정이 있는, 양면적인

[ambi(both) + val(vigor, 정력, 힘) + ent : ""두 가지 힘이 함께 있는"" → 양면가치의, 애증을 함께 느끼는",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-002,2,ameliorate,"개선하다.
 Ameli (Imli) improves the taste of food.",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-003,2,amenable,"잘따르는, 순종적인; (특정한 방식으로) ~하기 쉬운

[a < ad(to) + men(lead) + able : ""~쪽으로 이끌 수 있는"" → 순종하는, 따르는 → 다루기 쉬운",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-004,2,amend,"(법 등을) 개정하다, 수정하다.

[a < ab(away) + mend < mendum(fault) : ""잘못을
없애다"" → 잘못을 정정하다 ]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-005,2,amenity,"편의시설, 쾌적함, 예의",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-006,2,amiable,"친근한

[ami(friend) + able : ""친구 할 수 있는"" → 상냥한, 붙임성 있는, 호감 주는, 친절한]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-007,2,amicable,"우호적인, 원만한

(amicus 친구)",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-008,2,amity,"우정, 친목

(amicus 친구)",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-009,2,amorphous,"(형태, 정의가) 불명확한

[a(not) + morph(form) + ous : ""형태가 없는"" → 무정형의, 불규칙한 모양의 → 특색[개성]이 뚜렷하지 않은",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-010,2,anachronistic,"시대착오적인; 구시대적인

(an 없는 + arch 원시)",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-011,2,analogous,"유사한

[ana(to) + log(word) + ous : ""단어에 따라 → 단어와 단어가 대응하는"" → 유사한, 닮은]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-012,2,anathema,저주; 혐오스러운 것,https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-013,2,ancillary,"부속의, 보조의",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-014,2,anecdotal,"일화성의, 입증되지 않은

an(not) + ec < ex(out) + dote(give) : ""밖으로 주어지지 않은 것"" → 출판되지 않은 일 → 세상에 알려지지 않은 이야기, 일화 → 숨은 사실, 비화, 비사]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-015,2,animadversion,"호된 비난
animy + adversion",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-016,2,animated,"활력있는, 활발한",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-017,2,animosity,"적대감, 혐오감

(an 없는 + mosity)",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-018,2,anneal,"강화시키다, 담금질하다",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-019,2,annihilate,"완전히 파괴하다, 전멸시키다.

[an<ad(to) + nihil(nothing) + ate : ""없는 것으로 하다"" →전멸시키다 → 무효로 하다]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-020,2,annotate,주석(주해)을 달다,https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-021,2,annul,"무효로 하다, 취소하다, 폐지하다

(an 없는 nul)",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-022,2,anodyne,"(태도, 입장) 온건한, 자극적이지 않은, 평범한; 진통제

 anodyne ~ a + no + dyne (dying);",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-023,2,anomalous,"변칙적인, 비정상의, 특이한
 anomalous ~ a (not) + nomal",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-024,2,anonymous,"무명의, 익명의

[an(not) + onym(name) + ous : ""이름 없는"" → 익명의, 작자 불명의]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-025,2,antecede,"선행하다, 앞서다.",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-026,2,antedate,"선행하다, 앞서다.",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-027,2,antediluvian,"태고적인, 노아의 홍수 이전의; 구식의, 너무 오래된

((ante(before) +
diluvian : 노아의 대홍수 이전의, 태고의),",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-028,2,anthropogenic,"(특히 환경오염과 오염물질) 인류의 활동에 의해서 발생한

[anthrop(mankind, 인류) +",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-029,2,anthropomorphism,"신인 동형론, 의인관, 의인화",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-030,2,anticipate,"~보다 앞서다, 예견하다, ~의 선행 모델이 되다.",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-031,2,antidote,"해독제; 해결책

안티 + 독",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-032,2,antipathy,"반감, 혐오감

[anti(against) + pathy(feeling) : ""반대의 감정"" → 반감]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-033,2,antiquated,"오래된, 고풍스런

(ante 이전에 + quated)",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-034,2,antithesis,"대조, 정반대, 대조법
anti + thesis

[anti(against) + thesis(set) : ""반대로 둠"" → 대조, 정반대]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-035,2,antithetical,정반대의,https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-036,2,apathetic,"무감각한, 무정한, 무관심한

[a(not) + path(feeling) + ethic : ""감정이 없는"" ]",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-037,2,apathy,"무관심, 냉담한",https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
d02-038,2,apex,최고점,https://quizlet.com/kr/1206326950/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-02-flash-cards
